rxn,h,f,spe,zpe,u
MR_73239_1_49_4_1_6_7,-760.7768426537001,-760.8446176537001,-761.0936856537,-760.7967826537,-760.7777866537001
MR_467418_0_19_2_6_5_8,-776.03523472464,-776.09462472464,-776.25975472464,-776.0517807246399,-776.03617972464
MR_57399_2,-390.30036106188,-390.35261406188,-390.55378706188,-390.31398906187997,-390.30130506188
MR_225066_1_40_3_2_7_6,-757.8258692240199,-757.89613022402,-758.14591922402,-757.84634522402,-757.8268132240199
MR_480647_1_2_1_7_3_6,-832.45138400401,-832.51678700401,-832.69931900401,-832.4704160040101,-832.45232800401
MR_129005_0_44_4_7_6_2,-608.20589145858,-608.26496645858,-608.39457545858,-608.22065545858,-608.20683545858
MR_440142_0_25_2_10_4_11,-640.14434146547,-640.20008146547,-640.38415746547,-640.15946946547,-640.14528646547
MR_149359_1,-331.15994879372,-331.20725179372,-331.39803579372,-331.17208479372,-331.16089279372
MR_443105_0,-452.69354606357,-452.73581006357,-452.80608906357,-452.70290306357003,-452.69449106357
MR_287130_2,-383.35907171393,-383.40565571393,-383.48952871393,-383.37015371393,-383.36001571393
MR_576807_0,-437.30132611138,-437.34834911138,-437.50001611138,-437.31312611138,-437.30227011138
MR_66641_0_56_5_10_5_8,-671.0845071133799,-671.14998811338,-671.37447811338,-671.10345011338,-671.0854521133799
MR_267942_1_21_6_6,-551.00498149553,-551.0554544955301,-551.15857449553,-551.01720449553,-551.00592549553
MR_114291_0_24_2_8_3_2,-643.7462762294699,-643.80784122947,-643.97487222947,-643.76308622947,-643.7472202294699
MR_612159_1_53_5_3_6_8,-722.78251615336,-722.84436115336,-723.00433515336,-722.79971715336,-722.78346115336
MR_530876_0_44_4_3_6_1,-733.75422944437,-733.81388744437,-733.94151744437,-733.77063944437,-733.75517444437
MR_369980_1_49_4_2_6_7,-839.2811088326599,-839.35320683266,-839.65577383266,-839.30351183266,-839.2820528326599
MR_29892_2,-376.91522093926,-376.95676493926,-377.07295093926,-376.92481493926,-376.91616493926
MR_16679_0_36_3_2_3_2,-774.3107289734601,-774.3737679734601,-774.56636797346,-774.3291939734601,-774.3116729734601
MR_169488_0_56_5_9_5_4,-762.34039725243,-762.40472525243,-762.61279925243,-762.35799625243,-762.34134125243
MR_401342_2,-378.25295788776,-378.29713588776,-378.43439088776,-378.26335188776,-378.25390288776
MR_360654_0_11_4_2,-418.84414399139,-418.89101399138997,-419.00751899139,-418.85516999138997,-418.84508799138996
MR_367205_2_41_3_4_8_22,-929.48422257746,-929.5593785774599,-929.75582257746,-929.50610657746,-929.48516657746
MR_38039_0_64_6_7_7_10,-744.45219393114,-744.5216429311399,-744.76347993114,-744.47185293114,-744.45313893114
MR_378141_0,-325.53139476763005,-325.57540776763,-325.66534376763,-325.54103876763,-325.53233876763
MR_3012_0_3_1_3_4_9,-721.7814910438101,-721.83964404381,-721.99562004381,-721.79727504381,-721.7824350438101
MR_552735_0_68_7_9_7_8,-856.42039651395,-856.48541151395,-856.70473351395,-856.43835751395,-856.42134051395
MR_892_0,-363.7881521946,-363.8313821946,-363.9472221946,-363.79802919459996,-363.7890961946
MR_500055_1_30_3_4_3_6,-814.10581435567,-814.16619135567,-814.33643535567,-814.12322135567,-814.10675835567
MR_369885_0_31_3_4_4_3,-718.72993313694,-718.80081313694,-718.94719913694,-718.7502581369399,-718.73087713694
MR_334858_2_11_4_5,-357.55840547967,-357.60023347967,-357.67181047967,-357.56719347967,-357.55934947967
MR_284072_1_64_6_8_7_14,-752.20519596632,-752.27021796632,-752.42431596632,-752.22278896632,-752.20613996632
MR_209892_1_41_3_6_8_10,-790.35721990746,-790.42051390746,-790.60530390746,-790.37443890746,-790.35816390746
MR_76727_0_61_6_5_7_15,-797.47628421153,-797.53644521153,-797.76162221153,-797.49321321153,-797.47722821153
MR_60391_0,-326.68182606601,-326.72444306601,-326.83964706601,-326.69137306601,-326.68277106601
MR_520658_1_71_8_4_8_23,-949.7635057497,-949.8246547497,-950.0450617497,-949.7809677497,-949.7644497497
MR_407543_0_25_2_5_4_10,-824.29880738151,-824.37152038151,-824.69342438151,-824.32108038151,-824.29975138151
