rxn,h,f,spe,zpe,u
MR_425930_2_0_1_3_1_1,-927.7051720579999,-927.772197058,-927.933086058,-927.724140058,-927.7061160579999
MR_605133_0_37_3_2_4_2,-628.1406774850001,-628.199154485,-628.383853485,-628.156688485,-628.1416224850001
MR_21120_2_27_2_9_6_8,-778.660320947,-778.725138947,-778.913720947,-778.678333947,-778.661264947
MR_185214_1_50_4_11_7_10,-603.712079495,-603.762755495,-603.891450495,-603.724777495,-603.7130234949999
MR_454302_2_37_3_3_4_1,-646.3131606090001,-646.375406609,-646.579116609,-646.330520609,-646.3141046090001
MR_606064_1_23_8_57,-644.231718377,-644.287612377,-644.467318377,-644.246540377,-644.232662377
MR_406636_1_24_1_7,-742.7342725770001,-742.795390577,-743.015133577,-742.752042577,-742.7352165770001
MR_565255_1,-364.807665848,-364.859181848,-364.973020848,-364.82098284799997,-364.808609848
MR_73560_2_56_5_10_5_9,-608.7368648319999,-608.794062832,-608.939523832,-608.751828832,-608.7378088319999
MR_676690_0_41_3_4_8_34,-945.486741718,-945.5544347179999,-945.805360718,-945.506876718,-945.487685718
MR_184050_2_69_7_12_8_45,-1008.41935414,-1008.4881231400001,-1008.74025814,-1008.43935014,-1008.42029914
