smi,h,f,spe,zpe,u
C=CC(=C)N(C=O)C(C)=O,-477.197110557,-477.245326557,-477.358066557,-477.208740557,-477.198054557
N#CCO,-207.914909545,-207.94670654499998,-207.970848545,-207.920282545,-207.915853545
CC(=O)N(C)NC(=NO)NC=CN1CCCOC1,-891.566462023,-891.631979023,-891.897980023,-891.5858910229999,-891.567407023
O=CC=CNON1CCCCN1,-588.934721388,-588.987019388,-589.157143388,-588.947816388,-588.935665388
COOC(C=O)(CNC(C)=O)NC(=O)NC(C)=O,-967.34925083,-967.41981283,-967.62838383,-967.37016883,-967.35019483
NC(=O)C(N)=CC=O,-415.910745061,-415.95179806100003,-416.026483061,-415.919460061,-415.911689061
C#CCC1=CN=CN1,-341.56667494000004,-341.60687294,-341.68317394,-341.57476794,-341.56761894000005
CCC(O)C(O)C=N,-402.19020429200003,-402.234719292,-402.364674292,-402.20051729200003,-402.19114929200003
CNC(=N)ONC(C)(CC(=N)N(C)C)C(=O)O,-853.530231962,-853.600127962,-853.853865962,-853.550879962,-853.531175962
C=C(CC)NN,-267.76644449500003,-267.805804495,-267.918151495,-267.774781495,-267.76738849500003
CC(N=NCC1CCOCN1)C(C)(C)O,-708.070202585,-708.130837585,-708.405788585,-708.087126585,-708.071146585
CC12NC1NCC2C#N,-398.11332617799997,-398.15486617799996,-398.272405178,-398.122365178,-398.11427017799997
CNC(=N)NN=CC(CN=C=O)=NO,-713.3559832000001,-713.4153972,-713.5559242,-713.3717762,-713.3569272000001
NC#CCC1CNCCN1,-438.55474124200003,-438.602344242,-438.768565242,-438.566137242,-438.55568524200004
CC=NONC(N=N)=C(N)C(C)CC(C)=NC,-796.369890723,-796.441860723,-796.702124723,-796.391218723,-796.370834723
CCC(=CC(=O)OC=O)OC(N)=CC1CCNCO1,-953.451960651,-953.521583651,-953.776457651,-953.472000651,-953.452904651
NC(=CC=CN=C=O)CNC1=CN=CC=N1,-736.435371872,-736.496301872,-736.661063872,-736.451484872,-736.436315872
CNC(=O)ON=C(OC=O)OC1CCCOO1,-947.849829338,-947.9159793379999,-948.087710338,-947.867797338,-947.850773338
N#CNC1=CN=CN=C1,-411.810602035,-411.851394035,-411.910429035,-411.81891803499997,-411.811547035
CC=C(NC(=O)NC=O)OC1CNOC1,-777.5914301700001,-777.6484391700001,-777.83244517,-777.60686117,-777.5923741700001
CC=CO,-193.052132672,-193.08502067199998,-193.142734672,-193.058113672,-193.053076672
C=CON=C(C)C,-325.718686202,-325.761288202,-325.861072202,-325.728068202,-325.719630202
C=C(N)OC(=C)CC,-365.042555488,-365.087856488,-365.215755488,-365.05303348800004,-365.043500488
CCN(C)N,-229.6735356,-229.7102806,-229.8183746,-229.6810236,-229.6744796
CC(=O)N(C#CNC=NCC1C=CC=C1)C=O,-779.467100553,-779.531688553,-779.719147553,-779.4849735529999,-779.468044553
CC(=O)N(C)CC=O,-401.028335627,-401.07322362699995,-401.177905627,-401.038511627,-401.029279627
CC(=O)N(ON(C)C(=O)NCC1=NC=CC=N1)C(C)=O,-1002.5576403599999,-1002.62788036,-1002.85044636,-1002.57819336,-1002.5585843599999
C=C=NC=O,-245.985466082,-246.020253082,-246.045248082,-245.991766082,-245.986410082
O=CCN(C=O)C=O,-435.780740529,-435.823538529,-435.882738529,-435.789755529,-435.781684529
CNC(=O)CC(CC(N)=O)CC1=CC=NN=C1,-798.02948756,-798.09346756,-798.32099556,-798.04727956,-798.03043156
