smi,h,f,spe
C=C(OC1=COC=N1)C(C)=C(C)NC(=O)OC(C)=O,-951.385158,-951.456974,-951.658913
C=C(OC1CCON1)C(NC(=O)OC(C)=O)=C(C)C,-953.722212,-953.79444,-954.043595
C=C(OC1CCON1)C(C)=C(C)NC(=O)OC(C)=O,-953.718989,-953.792986,-954.040418
CC(C)=C(NN(C)C=N)C(O)=CC#N,-645.535818,-645.595565,-645.78184
CC(NN(C)C=N)=C(C)C(O)=CC#N,-645.539606,-645.601071,-645.785826
C=C(ON=N)C(N)=C(C)COC(C)=O,-702.538501,-702.600376,-702.770333
C=C(ON=N)C(COC(C)=O)=C(C)N,-702.550758,-702.61153,-702.78307
C=C(OC(=N)N)C(NN(C)C)=C(C)C,-647.907608,-647.968834,-648.199286
C=C(OC(=N)N)C(C)=C(C)NN(C)C,-647.915639,-647.978505,-648.207705
C=C(OC(=NC)N(C)C)C(N)=C(C)COOC,-821.56141,-821.632253,-821.905259
C=C(OC(=NC)N(C)C)C(COOC)=C(C)N,-821.57019,-821.639148,-821.914089
C=C(OC1CNCO1)C(NN=NC)=C(C)C,-761.227085,-761.291506,-761.532185
C=C(OC1CNCO1)C(C)=C(C)NN=NC,-761.227168,-761.292016,-761.532509
C=C(O)C(NC1=CN=CO1)=C(C)CON=C(C)C,-857.35257,-857.421748,-857.656075
C=C(O)C(CON=C(C)C)=C(C)NC1=CN=CO1,-857.355653,-857.424899,-857.659467
CC=NOCC(C)=C(N)C(O)=CC1NO1,-741.75865,-741.821512,-742.020967
CC=NOCC(C(O)=CC1NO1)=C(C)N,-741.771343,-741.833562,-742.033531
C=C(O)C(NN=O)=C(C)CON=C(C)C,-741.775901,-741.839652,-742.036078
C=C(O)C(CON=C(C)C)=C(C)NN=O,-741.781359,-741.845503,-742.041795
C=C(OC(C)=NO)C(N)=C(C)CC(C)=O,-725.799276,-725.864967,-726.07224
C=C(OC(C)=NO)C(CC(C)=O)=C(C)N,-725.802159,-725.865236,-726.075034
CC(=NO)OC(=CC1CCCNO1)C(N)=C(C)C,-859.686757,-859.758627,-860.038733
CC(=NO)OC(=CC1CCCNO1)C(C)=C(C)N,-859.688715,-859.759466,-860.040861
C=NNC(C(O)=CNC)=C(C)C,-553.247199,-553.303139,-553.492269
C=NNC(C)=C(C)C(O)=CNC,-553.250188,-553.307667,-553.495049
C=C(OC=O)C(N)=C(C)CN=CC,-611.288484,-611.346238,-611.526668
C=C(OC=O)C(CN=CC)=C(C)N,-611.292539,-611.352412,-611.530721
C=C(OC(=O)N(C)C)C(N)=C(C)CN,-667.859577,-667.921706,-668.141547
C=C(OC(=O)N(C)C)C(CN)=C(C)N,-667.867215,-667.929191,-668.149311
C=C(OC1=CN=CN1)C(N)=C(C)CC(C)=NC,-762.25338,-762.320781,-762.564814
C=C(OC1=CN=CN1)C(CC(C)=NC)=C(C)N,-762.266538,-762.332388,-762.577936
C=NCC(C)=C(N)C(=C)ON1COC1,-666.517123,-666.577851,-666.773379
C=NCC(C(=C)ON1COC1)=C(C)N,-666.52042,-666.581037,-666.776787
C=C(ON)C(N)=C(C)C(N)(N)N,-586.542415,-586.595607,-586.789792
C=C(ON)C(=C(C)N)C(N)(N)N,-586.553529,-586.606326,-586.801195
CONC(C(O)=CC(=O)OC(C)=O)=C(C)C,-820.961974,-821.028231,-821.228303
CONC(C)=C(C)C(O)=CC(=O)OC(C)=O,-820.97142,-821.03855,-821.237941
CC(C)=NC=C(OC1=CNN=C1)C(N)=C(C)C,-762.248142,-762.315835,-762.5592
CC(C)=NC=C(OC1=CNN=C1)C(C)=C(C)N,-762.254874,-762.322039,-762.565842
C=C(OC1=CC=NO1)C(N)=C(C)COC,-724.570937,-724.630537,-724.821668
C=C(OC1=CC=NO1)C(COC)=C(C)N,-724.581883,-724.641699,-724.832789
CC(=O)C=C(OC1NN1)C(N)=C(C)C,-666.585461,-666.647679,-666.842259
CC(=O)C=C(OC1NN1)C(C)=C(C)N,-666.591276,-666.652468,-666.848105
C=C(O)C(NC1=CC=NC=N1)=C(C)C(O)O,-778.827735,-778.887546,-779.074674
C=C(O)C(=C(C)NC1=CC=NC=N1)C(O)O,-778.835955,-778.895659,-779.083727
CC(CC(=O)O)=C(N)C(O)=CC1COCO1,-820.987548,-821.048243,-821.25799
CC(N)=C(CC(=O)O)C(O)=CC1COCO1,-820.994813,-821.058175,-821.265977
CC(CC(N)=O)=C(N)C(O)=CC1CCCC1,-729.235489,-729.301812,-729.566894
CC(N)=C(CC(N)=O)C(O)=CC1CCCC1,-729.238747,-729.304933,-729.570373
CC(CC1=CC=NO1)=C(N)C(O)=CC1CCCNN1,-876.755116,-876.821459,-877.105961
CC(N)=C(CC1=CC=NO1)C(O)=CC1CCCNN1,-876.753185,-876.819769,-877.104295
C=C(OC1=NC=CC=N1)C(NC1NN1)=C(C)C,-777.071294,-777.134249,-777.347554
C=C(OC1=NC=CC=N1)C(C)=C(C)NC1NN1,-777.084218,-777.146244,-777.361786
C=C(OC1=CN=CN=C1)C(N)=C(C)CN(C=O)C(C)=O,-949.718544,-949.787148,-950.024958
C=C(OC1=CN=CN=C1)C(CN(C=O)C(C)=O)=C(C)N,-949.727484,-949.796089,-950.034053
CC(C)=C(NN1CNC1)C(O)=CN1CCCOC1,-839.801566,-839.870154,-840.168696
CC(NN1CNC1)=C(C)C(O)=CN1CCCOC1,-839.80581,-839.872824,-840.173272
COOCC(C(=N)NN(C=O)C(C)=O)=C(N)N,-888.504734,-888.570618,-888.779344
COOCC(N)=C(N)C(=N)NN(C=O)C(C)=O,-888.485858,-888.552215,-888.760934
C=NONC(=N)C(C)=C(N)NNC=NC,-734.103869,-734.16569,-734.367449
C=NONC(=N)C(NNC=NC)=C(C)N,-734.098006,-734.160655,-734.361273
CC(C(=N)NC1NCCCN1)=C(N)NN(C)C=N,-832.218504,-832.286886,-832.589054
CC(N)=C(NN(C)C=N)C(=N)NC1NCCCN1,-832.215405,-832.285171,-832.58563
CC(C(N)=NN=N)=C(N)NNC=N,-635.697652,-635.752502,-635.915888
CC(N)=C(NNC=N)C(N)=NN=N,-635.684427,-635.741271,-635.902425
N=CNCC(C(=N)NC=NO)=C(N)N,-694.896482,-694.954471,-695.133128
N=CNCC(N)=C(N)C(=N)NC=NO,-694.898211,-694.95474,-695.135727
CN=C(N)NC(N)=C(C)C(=N)NC=O,-678.928388,-678.987925,-679.175978
CN=C(N)NC(C(=N)NC=O)=C(C)N,-678.920178,-678.978603,-679.167985
NC=NN=C(N)C(CC1=NC=CO1)=C(N)N,-771.171339,-771.231175,-771.420746
NC=NN=C(N)C(N)=C(N)CC1=NC=CO1,-771.161074,-771.221505,-771.41134
CN(C)C(=N)CC(C(=N)NC1CNCNC1)=C(N)N,-871.549912,-871.618916,-871.951637
CN(C)C(=N)CC(N)=C(N)C(=N)NC1CNCNC1,-871.535454,-871.608362,-871.93674
C=NON=C(N)C(C)=C(N)NN(C=O)C(C)=O,-867.405876,-867.473997,-867.667182
C=NON=C(N)C(NN(C=O)C(C)=O)=C(C)N,-867.401712,-867.469226,-867.663623
C=NONC(N)=C(CC(C)=NC)C(=N)N,-718.082001,-718.145627,-718.356977
C=NONC(C(=N)N)=C(N)CC(C)=NC,-718.078564,-718.142658,-718.353088
CC(C)=NONC(=N)C(CC1=CC=CN=N1)=C(N)N,-887.775261,-887.843286,-888.087805
CC(C)=NONC(=N)C(N)=C(N)CC1=CC=CN=N1,-887.763503,-887.834225,-888.075449
CN=CCC(C(=N)NON=C(C)C)=C(N)N,-757.387205,-757.452358,-757.692131
CN=CCC(N)=C(N)C(=N)NON=C(C)C,-757.381591,-757.450198,-757.685244
CC(=N)CC(C(=N)NC(=O)N(C)C)=C(N)N,-757.528166,-757.593816,-757.836073
CC(=N)CC(N)=C(N)C(=N)NC(=O)N(C)C,-757.512231,-757.577622,-757.819971
CC(C(=NC1CNCO1)N(N)N)=C(N)N,-735.369291,-735.430208,-735.661025
CC(N)=C(N)C(=NC1CNCO1)N(N)N,-735.361055,-735.422333,-735.652813
CON=C(N)C(C)=C(N)NN,-547.246225,-547.299626,-547.463739
CON=C(N)C(NN)=C(C)N,-547.246026,-547.29969,-547.463213
CC(C)=NNC(N)=C(C)C(=N)NC1C=CC=C1,-742.353233,-742.419894,-742.676918
CC(C)=NNC(C(=N)NC1C=CC=C1)=C(C)N,-742.346692,-742.415216,-742.670372
CNNC(=NC1CCOCN1)C(C)=C(N)N,-758.64467,-758.707282,-758.978261
CNNC(=NC1CCOCN1)C(N)=C(C)N,-758.635479,-758.699095,-758.967956
CC(C(=NC(N)=O)NOC=O)=C(N)N,-734.746029,-734.803152,-734.956598
CC(N)=C(N)C(=NC(N)=O)NOC=O,-734.73014,-734.790243,-734.940362
CC(C(=N)NC1=NC=CO1)=C(N)NC=O,-735.71963,-735.777657,-735.938475
CC(N)=C(NC=O)C(=N)NC1=NC=CO1,-735.722844,-735.779696,-735.94192
CC(C(N)=NC1NCCO1)=C(N)NOO,-775.089888,-775.151259,-775.353225
CC(N)=C(NOO)C(N)=NC1NCCO1,-775.094793,-775.156364,-775.358414
CC(C(=N)NOC=O)=C(N)N(O)O,-716.371153,-716.426889,-716.560584
CC(N)=C(C(=N)NOC=O)N(O)O,-716.376133,-716.432774,-716.566575
CC(C(=N)NC1=CN=CO1)=C(N)NC(=O)O,-810.987278,-811.048033,-811.212093
CC(N)=C(NC(=O)O)C(=N)NC1=CN=CO1,-810.992998,-811.053674,-811.217343
CN(C)C(=O)N=C(N)C(CC1=CC=CN=N1)=C(N)N,-887.911211,-887.97937,-888.225695
CN(C)C(=O)N=C(N)C(N)=C(N)CC1=CC=CN=N1,-887.89164,-887.962289,-888.207032
CC(=O)N(C)NC(N)=C(C)C(=N)NN=C=O,-792.222594,-792.289069,-792.480482
CC(=O)N(C)NC(C(=N)NN=C=O)=C(C)N,-792.243887,-792.306016,-792.503526
N=C(N)C(CC1COCN1)=C(N)NC1=CC=NC=N1,-887.885126,-887.949922,-888.20396
N=C(N)C(NC1=CC=NC=N1)=C(N)CC1COCN1,-887.891678,-887.958062,-888.209377
N=C(NC1=CN=CO1)C(CC1CNCN1)=C(N)N,-849.762722,-849.825239,-850.074072
N=C(NC1=CN=CO1)C(N)=C(N)CC1CNCN1,-849.751699,-849.81378,-850.06353
CC(C(=N)NC1CCOCO1)=C(N)NC1CCCOO1,-990.328531,-990.39601,-990.709146
CC(N)=C(NC1CCCOO1)C(=N)NC1CCOCO1,-990.319465,-990.388839,-990.699579
CC(C(=N)NN(C=O)C=O)=C(N)NC1CCNCN1,-926.200324,-926.26895,-926.539645
CC(N)=C(NC1CCNCN1)C(=N)NN(C=O)C=O,-926.196037,-926.263988,-926.535832
CC(=O)OC(=O)OCC#N,-549.276345,-549.325849,-549.390165
CC(=O)CNC#N,-340.758851,-340.801775,-340.86749
N#CCONC=N,-356.742471,-356.78307,-356.839964
NC=NCN,-244.652265,-244.687368,-244.763509
CONC=N,-264.475676,-264.511173,-264.572754
N#CNCN=CN,-336.922379,-336.96228,-337.034189
CN=NCN,-244.611691,-244.648053,-244.721064
CN=NCNC#N,-336.872077,-336.913274,-336.981557
CC(=N)OCC#N,-340.753349,-340.79414,-340.862667
COC(C)=N,-248.489061,-248.525165,-248.598081
N#CNCC=N,-281.549798,-281.587691,-281.642031
CC(C)=NCNC#N,-360.153347,-360.19945,-360.304114
N#CCOC1COCCN1,-494.570956,-494.616444,-494.747622
CN=CCNC#N,-320.834365,-320.877428,-320.955841
COC1COCCN1,-402.302544,-402.343737,-402.478844
N#CCOC1CNO1,-415.898702,-415.940319,-416.014335
COC(=O)CNC#N,-416.010762,-416.055366,-416.126593
COC1CNO1,-323.634171,-323.671444,-323.749175
N#CCONC=O,-376.649706,-376.690166,-376.73446
N#CNCC1=CN=CO1,-433.013766,-433.05665,-433.125143
N#CCOC1=CC=CC=C1,-439.024271,-439.067951,-439.164999
COC1=CC=CC=C1,-346.761022,-346.799966,-346.901261
N#CNCN(C=O)C=O,-470.188257,-470.232518,-470.298584
N#CCOC1COCCO1,-514.456718,-514.501647,-514.620508
COC1COCCO1,-422.190831,-422.23163,-422.354112
N#CNCC1CCONC1,-474.646777,-474.692723,-474.83614
CN=CC=C(C=CC(C)=NC)OC=O,-649.381859,-649.445548,-649.625376
CN=CC=C(C=O)OC=CC(C)=NC,-649.349705,-649.411694,-649.592751
NC(=O)C=CC(=CC1CCCOO1)OC=O,-819.726566,-819.789201,-819.971942
NC(=O)C=COC(C=O)=CC1CCCOO1,-819.695588,-819.756491,-819.940618
CC(=O)OC(=O)C=C(C=CC1NCO1)OC=O,-893.82882,-893.895437,-894.055203
CC(=O)OC(=O)C=C(C=O)OC=CC1NCO1,-893.800936,-893.865144,-894.026638
N=C(C=C(NN)NN(C=O)C=O)CN(C=O)C=O,-941.513044,-941.579017,-941.760001
N=C(CN(C=O)C=O)C(=CNN)NN(C=O)C=O,-941.519735,-941.586246,-941.766732
CC(=O)OC(=O)N=C(C)C=C(N)NNC#N,-810.961944,-811.02734,-811.182921
CC(=O)OC(=O)N=C(C)C(N)=CNNC#N,-810.934625,-811.000744,-811.155638
CC(C=C(NN)NN1CCN1)=NN(C=O)C=O,-847.476844,-847.543025,-847.753475
CC(=NN(C=O)C=O)C(=CNN)NN1CCN1,-847.448842,-847.51491,-847.724438
CNC(=N)N=C(C=C(N)NN)CN=CN,-714.341713,-714.403771,-714.621677
CNC(=N)N=C(CN=CN)C(N)=CNN,-714.317739,-714.38106,-714.597682
COC(=O)NC(=CC(C)=NNC=N)NN,-754.112537,-754.178564,-754.365601
COC(=O)NC(=CNN)C(C)=NNC=N,-754.100857,-754.162632,-754.355093
CNC(=N)N=C(C=C(N)NN)CC1COCO1,-832.692229,-832.758169,-833.006125
CNC(=N)N=C(CC1COCO1)C(N)=CNN,-832.67743,-832.742293,-832.9934
CNC(=N)NNC(N)=CC(C)=NN=O,-694.862927,-694.923873,-695.096797
CNC(=N)NNC=C(N)C(C)=NN=O,-694.824712,-694.885572,-695.058253
CC(C)=NONC(=CC(=N)CN)NN,-679.939261,-680.002857,-680.209298
CC(C)=NONC(=CNN)C(=N)CN,-679.93377,-679.997692,-680.203666
C=NONC(=CC(C)=N)NNC1CCCC1,-741.278572,-741.34169,-741.59673
C=NONC(=CNNC1CCCC1)C(C)=N,-741.286613,-741.350143,-741.604363
CC(=O)N(C=O)NNC(N)=CC(=N)C(N)N,-809.47663,-809.540271,-809.749263
CC(=O)N(C=O)NNC=C(N)C(=N)C(N)N,-809.459463,-809.524759,-809.731977
CC=NOCC(=N)C=C(N)NNC1=CC=CC=C1,-816.385139,-816.451613,-816.693174
CC=NOCC(=N)C(N)=CNNC1=CC=CC=C1,-816.375732,-816.442032,-816.683563
CC=NNC(=CC(C)=NC=NC)NN,-642.860289,-642.921727,-643.129606
CC=NNC(=CNN)C(C)=NC=NC,-642.859063,-642.921725,-643.128703
CC=NCC(C=C(N)NN)=NC(=O)OC,-738.058835,-738.121417,-738.323911
CC=NCC(=NC(=O)OC)C(N)=CNN,-738.041533,-738.104867,-738.306233
N#CCC(C=C(N)NN)=NC1=CN=CN1,-694.702745,-694.762059,-694.922803
N#CCC(=NC1=CN=CN1)C(N)=CNN,-694.691818,-694.750073,-694.912405
CC(C)=NCC(=N)C=C(N)NNC1CCOCO1,-855.937834,-856.007785,-856.292872
CC(C)=NCC(=N)C(N)=CNNC1CCOCO1,-855.91348,-855.981952,-856.269523
CC=NNC(=CC(=N)CC(C)=N)NN,-642.86943,-642.929942,-643.140578
CC=NNC(=CNN)C(=N)CC(C)=N,-642.866935,-642.928837,-643.13758
CON=C(C)C=C(NN)NC=N,-585.339611,-585.394915,-585.562895
CON=C(C)C(=CNN)NC=N,-585.332826,-585.389369,-585.556076
CN=C(C)CC(C=C(N)NN)=NC1=CN=CN=C1,-812.600879,-812.66854,-812.90873
CN=C(C)CC(=NC1=CN=CN=C1)C(N)=CNN,-812.575788,-812.64399,-812.884457
CNCC(C=C(N)NN)=NC1CCNCN1,-738.743268,-738.806127,-739.089705
CNCC(=NC1CCNCN1)C(N)=CNN,-738.718996,-738.782558,-739.066182
CC(=O)NN=C(C=C(N)NN)COO,-735.803418,-735.864922,-736.036601
CC(=O)NN=C(COO)C(N)=CNN,-735.773041,-735.833151,-736.007215
N=C(C=C(N)NNC(=O)O)CC=O,-679.378758,-679.433126,-679.572871
N=C(CC=O)C(N)=CNNC(=O)O,-679.369644,-679.426296,-679.563422
N=C(C=C(NN)NC1=CC=CN=N1)CC(=O)O,-829.138025,-829.198688,-829.381992
N=C(CC(=O)O)C(=CNN)NC1=CC=CN=N1,-829.135603,-829.197933,-829.379211
CC(=O)OC(=O)N=C(C=C(N)NN)CC(N)=O,-887.454237,-887.520629,-887.707489
CC(=O)OC(=O)N=C(CC(N)=O)C(N)=CNN,-887.424079,-887.492267,-887.677392
CC(C=C(N)NNNC=O)=NC1=NC=CC=N1,-809.257835,-809.320679,-809.51253
CC(=NC1=NC=CC=N1)C(N)=CNNNC=O,-809.241627,-809.304083,-809.497331
NNC(N)=CC(CC1=CN=CN1)=NC1=CNN=C1,-827.458339,-827.521199,-827.734356
NNC=C(N)C(CC1=CN=CN1)=NC1=CNN=C1,-827.436697,-827.501706,-827.71244
CC(C=C(NN)NC1CNNC1)=NC1=CC=NN1,-829.796612,-829.864175,-830.119623
CC(=NC1=CC=NN1)C(=CNN)NC1CNNC1,-829.772999,-829.838188,-830.096623
N=C(C=C(NN)NC1=COC=N1)CC1=CN=CN=C1,-885.448844,-885.512795,-885.71727
N=C(CC1=CN=CN=C1)C(=CNN)NC1=COC=N1,-885.438027,-885.501738,-885.707128
CC(=O)N(C=O)N=C(C)C=C(NN)NC1=CNN=C1,-923.785211,-923.856468,-924.074421
CC(=O)N(C=O)N=C(C)C(=CNN)NC1=CNN=C1,-923.763902,-923.833716,-924.053412
CC(=N)C=C(NNC1CCNN1)NC1CCCNO1,-891.316036,-891.385339,-891.704143
CC(=N)C(=CNNC1CCNN1)NC1CCCNO1,-891.29988,-891.36868,-891.688636
N=C(C=C(NN)NN1CCNCC1)CC1CCONC1,-930.599789,-930.671539,-931.018431
N=C(CC1CCONC1)C(=CNN)NN1CCNCC1,-930.600165,-930.670793,-931.019287
CN=CNCC(C=C(N)NN)=NC(=O)NC(C)=O,-886.930687,-887.001696,-887.238726
CN=CNCC(=NC(=O)NC(C)=O)C(N)=CNN,-886.912837,-886.985446,-887.221091
CN(C=N)ON(C)C(=O)NCN=O,-696.464185,-696.522492,-696.665707
CC(=O)N(NCN=O)ON(C)C=N,-696.41656,-696.474905,-696.616882
CN=CCNC(=O)N(C)ONC=N,-660.567931,-660.628432,-660.794884
CN=CCNN(ONC=N)C(C)=O,-660.543192,-660.600708,-660.769329
COC(=O)CNC(=O)N(C)ON=C(C)N,-795.071958,-795.137122,-795.32254
COC(=O)CNN(ON=C(C)N)C(C)=O,-795.031203,-795.094553,-795.280822
CN(OC(=N)N)C(=O)NCC(=O)NC=O,-809.998553,-810.058876,-810.215411
CC(=O)N(NCC(=O)NC=O)OC(=N)N,-809.9639,-810.025674,-810.179129
CC(C)=NCNC(=O)N(C)ON=N,-660.577681,-660.636555,-660.803518
CC(=O)N(NCN=C(C)C)ON=N,-660.535682,-660.595644,-660.760353
CNC(=N)CNC(=O)N(C)OC1COCCN1,-853.780717,-853.8468,-854.107186
CNC(=N)CNN(OC1COCCN1)C(C)=O,-853.745535,-853.810451,-854.071244
CN(ON=C=O)C(=O)NCN=O,-675.868994,-675.925796,-676.004279
CC(=O)N(NCN=O)ON=C=O,-675.823031,-675.87859,-675.957233
CC(C)=NCNC(=O)N(C)ON(C)C,-685.025348,-685.087903,-685.316712
CC(=O)N(NCN=C(C)C)ON(C)C,-684.98723,-685.049675,-685.277386
CC=NCNC(=O)N(C)ON1CCOCC1,-798.362023,-798.425134,-798.667979
CC=NCNN(ON1CCOCC1)C(C)=O,-798.321494,-798.384285,-798.625844
CN(OC(=O)NC=O)C(=O)NCC1=NC=CO1,-906.093043,-906.155794,-906.310241
CC(=O)N(NCC1=NC=CO1)OC(=O)NC=O,-906.053,-906.117543,-906.268764
CN=C(ON(C)C(=O)NCC(=O)OC(C)=O)N(C)C,-987.05816,-987.132842,-987.379046
CN=C(ON(NCC(=O)OC(C)=O)C(C)=O)N(C)C,-987.019517,-987.092855,-987.339058
CN(C)CNC1OC1N,-437.747154,-437.795129,-437.952081
NC1OC1NCOO,-454.216602,-454.259052,-454.355122
NC1OC1NCC1=CNN=C1,-528.834784,-528.882855,-529.018498
NC1OC1NCC1COCO1,-570.984684,-571.034565,-571.190965
NC1OC1NCN(C=O)C=O,-585.902452,-585.952666,-586.072113
N=CNCNC1OC1N,-452.62641,-452.672512,-452.797501
NC1OC1NC(N)(N)N,-469.888035,-469.932332,-470.071188
NC1OC1NCC=O,-417.157985,-417.200019,-417.296942
NC1OC1NCC1=CN=CO1,-548.723828,-548.772514,-548.89447
NC1OC1NCC1CNCO1,-551.102807,-551.151534,-551.322168
CC(=O)N(C=O)CNC1OC1N,-625.21428,-625.267232,-625.413679
CNC(=N)CNC1OC1N,-491.931674,-491.980987,-492.132089
NC1OC1NCC=NO,-472.462217,-472.507765,-472.619213
NC(N)NC1OC1N,-414.524744,-414.567978,-414.690143
NC1OC1NCNC=O,-472.541013,-472.588496,-472.699582
CC(CNC1OC1N)=NO,-511.772055,-511.821558,-511.958409
NC1OC1NCC1=NC=CC=N1,-566.965283,-567.015248,-567.154925
NC1OC1NCC1COCCO1,-610.284921,-610.335229,-610.521413
N#CCNC1OC1N,-396.071751,-396.115115,-396.200019
CC(=O)NCNC1OC1N,-511.852111,-511.90168,-512.040071
NC1OC1NCC1=NC=CN1,-528.862397,-528.909348,-529.046097
NC1OC1NCN1CCCCO1,-590.353345,-590.404423,-590.601218
CC(=O)N(CNC1OC1N)C(C)=O,-664.516393,-664.573174,-664.745102
CN(C=N)CNC1OC1N,-491.918678,-491.967969,-492.118896
C=C(CC=CC(=O)NC=O)C(C)=CN=O,-723.394594,-723.456514,-723.620431
C=C(C=CC(=O)NC=O)CC(C)=CN=O,-723.401174,-723.463797,-723.627315
C=CCC(=C)C(=CC1OCCCO1)CC(=O)NC=O,-900.540089,-900.607552,-900.876258
C=CC(=C)CC(=CC1OCCCO1)CC(=O)NC=O,-900.53984,-900.60953,-900.875613
C=C(CC=CC(=N)NC)C(C)=CC(=O)O,-688.713877,-688.778398,-688.990211
C=C(C=CC(=N)NC)CC(C)=CC(=O)O,-688.722651,-688.786003,-688.998879
C=CCC(=C)C(=CC1=CC=CC=C1)CC(N)=NC,-731.128178,-731.195263,-731.471672
C=CC(=C)CC(=CC1=CC=CC=C1)CC(N)=NC,-731.132964,-731.199626,-731.47625
C=C(C)C(=CC=NO)CC=CC(N)=O,-649.365346,-649.426603,-649.610644
C=C(C)CC(C=CC(N)=O)=CC=NO,-649.371887,-649.432942,-649.617146
C=CCC(=CON=C(C)C)C(=C)CC1=CC=CN=N1,-822.34384,-822.413684,-822.677769
C=CC(=CON=C(C)C)CC(=C)CC1=CC=CN=N1,-822.347604,-822.416493,-822.681556
C=C(CC=CC=NO)C(=C)CC1NCCCO1,-767.216655,-767.280871,-767.553489
C=C(C=CC=NO)CC(=C)CC1NCCCO1,-767.22036,-767.285307,-767.556917
C=CCC(=C)C(=CON=C)CN=C=O,-648.132247,-648.19274,-648.353061
C=CC(=C)CC(=CON=C)CN=C=O,-648.137218,-648.196719,-648.358247
C=CCC(=C)C(=CON=C)CC1=CON=C1,-725.48225,-725.546157,-725.738735
C=CC(=C)CC(=CON=C)CC1=CON=C1,-725.475214,-725.537186,-725.731494
C=C(CC=CN=CC)C(C)=CC=N,-538.174461,-538.232273,-538.437508
C=C(C=CN=CC)CC(C)=CC=N,-538.167118,-538.224598,-538.429911
C=CCC(=C)C(=CC(=O)O)CNC,-595.230047,-595.287623,-595.482185
C=CC(=C)CC(=CC(=O)O)CNC,-595.236301,-595.293316,-595.48858
C=C(CC=CC1=CC=NN1)C(=C)C(N)N,-647.704574,-647.761829,-647.983946
C=C(C=CC1=CC=NN1)CC(=C)C(N)N,-647.70517,-647.76451,-647.984178
C=CCC(=C)C(=CC1OCCCO1)C(N)(N)N,-784.506632,-784.571512,-784.855744
C=CC(=C)CC(=CC1OCCCO1)C(N)(N)N,-784.50304,-784.568635,-784.852551
C=CCC(=C)C(=CN=C(C)C)CN,-539.36678,-539.426693,-539.653835
C=CC(=C)CC(=CN=C(C)C)CN,-539.369043,-539.428974,-539.656117
C=CCC(=CN(C)C(C)=O)C(C)=CN=CC,-692.036664,-692.103103,-692.364028
C=CC(=CN(C)C(C)=O)CC(C)=CN=CC,-692.048165,-692.116174,-692.375465
C=C(C)C(=CC=NC)CC=CC1=CC=CN=N1,-707.834283,-707.90064,-708.133468
C=C(C)CC(C=CC1=CC=CN=N1)=CC=NC,-707.833833,-707.901597,-708.133725
C=CCC(=CN(C)C(C)=O)C(=C)CC=O,-672.633864,-672.696578,-672.919789
C=CC(=CN(C)C(C)=O)CC(=C)CC=O,-672.638027,-672.701763,-672.923558
C=CCC(=C)C(=CC1=CC=NN=C1)CC=O,-688.42426,-688.48449,-688.682439
C=CC(=C)CC(=CC1=CC=NN=C1)CC=O,-688.430902,-688.490708,-688.688685
C=CCC(=C)C(=CC1CNCO1)CC=O,-672.593005,-672.653581,-672.880928
C=CC(=C)CC(=CC1CNCO1)CC=O,-672.598584,-672.659442,-672.886925
C=CCC(=C)C(=CN(C)C=O)COO,-670.376309,-670.435406,-670.632245
C=CC(=C)CC(=CN(C)C=O)COO,-670.377226,-670.43792,-670.632905
C=CCC(=C)C(=CC1=NOC=C1)COC,-671.366567,-671.427108,-671.629748
C=CC(=C)CC(=CC1=NOC=C1)COC,-671.371032,-671.431429,-671.63473
C=C(CC=CC1CON1)C(=C)C(O)(O)O,-745.626503,-745.684219,-745.888598
C=C(C=CC1CON1)CC(=C)C(O)(O)O,-745.626767,-745.686167,-745.888457
C=CCC(=C)C(=CN(C)C(C)=O)CC1=CC=NO1,-804.167628,-804.235838,-804.484564
C=CC(=C)CC(=CN(C)C(C)=O)CC1=CC=NO1,-804.173286,-804.241048,-804.490206
C=C(CC=CC1=NC=CC=N1)C(C)=CC(=O)N(C)C,-822.446975,-822.518441,-822.783761
C=C(C=CC1=NC=CC=N1)CC(C)=CC(=O)N(C)C,-822.452125,-822.52407,-822.788715
C=CCC(=CC1=CC=NN1)C(C)=CC1=CC=NO1,-781.88443,-781.947802,-782.168487
C=CC(=CC1=CC=NN1)CC(C)=CC1=CC=NO1,-781.886954,-781.950663,-782.170703
C=C(CC=CC1=CC=NO1)C(=C)CN1CCCNC1,-823.551075,-823.616812,-823.912778
C=C(C=CC1=CC=NO1)CC(=C)CN1CCCNC1,-823.552373,-823.618588,-823.914472
C=CCC(=CC1=CON=C1)C(C)=CN1CCCOC1,-843.435102,-843.50153,-843.784302
C=CC(=CC1=CON=C1)CC(C)=CN1CCCOC1,-843.435702,-843.502912,-843.784701
C=CCC(=CN(C=O)C=O)C(=C)CC1=CN=CN1,-819.093825,-819.159382,-819.376796
C=CC(=CN(C=O)C=O)CC(=C)CC1=CN=CN1,-819.09774,-819.162078,-819.380834
C=CCC(=CC1CCCNO1)C(=C)CC1CNN1,-786.551245,-786.616553,-786.931274
C=CC(=CC1CCCNO1)CC(=C)CC1CNN1,-786.554516,-786.619418,-786.933608
CC=NOCC(O)(CC(=O)OC=O)N=NC,-853.010575,-853.074551,-853.251608
CN=NC(O)(COC=O)CC(=O)OC(C)=O,-873.007826,-873.072955,-873.238194
CN=NC(C)(CN=C(C)N)ON=C(C)N,-719.315064,-719.378376,-719.612483
