ar,h,f,spe
MR_63884_0_25_2_7_4_2,-723.058374,-723.122526,-723.352646
MR_63884_0_26_2_2_5_3,-741.768754,-741.829691,-742.02688
MR_63884_0_27_2_4_6_3,-915.001,-915.07473,-915.366532
MR_63884_0_28_2_10_7_10,-833.976822,-834.040735,-834.236367
MR_63884_0_29_2_8_8_33,-816.504288,-816.569468,-816.827404
MR_63884_0_2_1_5_3_5,-1008.955088,-1009.03254,-1009.288035
MR_63884_0_30_3_2_3_4,-777.587094,-777.649379,-777.81927
MR_63884_0_31_3_3_4_5,-741.692909,-741.756964,-741.949957
MR_63884_0_33_3_6_6_1,-738.366167,-738.423767,-738.57084
MR_63884_0_34_3_2_7_17,-832.790889,-832.850365,-833.027117
MR_63884_0_37_3_3_4_3,-701.212288,-701.270616,-701.416092
MR_63884_0_38_3_6_5_7,-720.019943,-720.074939,-720.204241
MR_63884_0_39_3_5_6_1,-816.990632,-817.05327,-817.254447
MR_63884_0_40_3_3_7_1,-801.838592,-801.904092,-802.119785
MR_63884_0_41_3_4_8_22,-915.419867,-915.490744,-915.731362
MR_63884_0_42_4_6_4_12,-683.762064,-683.822371,-684.027711
MR_63884_0_43_4_11_5_9,-684.255474,-684.315385,-684.465303
MR_63884_0_44_4_1_6_1,-664.366354,-664.424203,-664.590437
MR_63884_0_45_4_4_7_13,-739.341183,-739.398412,-739.552648
MR_63884_0_46_4_3_8_23,-799.722195,-799.784115,-799.975367
MR_63884_0_47_4_4_4_9,-627.177436,-627.234711,-627.399074
MR_63884_0_48_4_2_5_4,-723.545344,-723.605364,-723.785325
MR_63884_0_49_4_9_6_5,-741.761954,-741.823955,-742.020632
MR_63884_0_51_4_1_8_59,-722.996365,-723.057634,-723.293906
MR_63884_0_54_5_4_7_16,-852.76111,-852.821773,-852.986205
MR_63884_0_55_5_10_8_22,-782.716931,-782.772307,-782.977587
MR_63884_0_56_5_8_5_10,-665.915591,-665.970388,-666.106793
MR_63884_0_57_5_3_6_6,-761.686533,-761.749037,-761.932988
MR_63884_0_58_5_3_7_14,-778.692436,-778.753543,-778.934105
MR_63884_0_59_5_10_8_39,-762.816983,-762.872693,-763.089881
MR_63884_0_5_1_2_6_6,-950.304124,-950.374005,-950.566996
MR_63884_0_61_6_7_7_14,-873.351122,-873.41708,-873.641386
MR_63884_0_62_6_3_8_35,-934.889543,-934.961214,-935.245695
MR_63884_0_64_6_8_7_16,-831.667851,-831.729114,-831.881822
MR_63884_0_65_6_4_8_19,-876.115383,-876.181186,-876.397925
MR_63884_0_67_7_2_8_43,-932.444777,-932.509666,-932.754079
MR_63884_0_69_7_5_8_36,-932.500101,-932.565821,-932.809855
MR_63884_0_6_1_2_7_15,-1005.427142,-1005.49763,-1005.692272
MR_63884_0_71_8_8_8_52,-816.459775,-816.521675,-816.782113
MR_63884_0_7_1_4_8_21,-1028.870475,-1028.940959,-1029.195098
MR_63884_0_8_1_5_1_4,-1083.087892,-1083.164108,-1083.404024
MR_654814_2_10_1_1_3_2,-828.545579,-828.605892,-828.720499
MR_654814_2_17_2_8_3_3,-714.671588,-714.729095,-714.889513
MR_654814_2_18_2_12_4_11,-522.687887,-522.738672,-522.836134
